pdf_quarter,year_pair,q4_yoy_pct,q3_yoy_pct,q2_yoy_pct,q1_yoy_pct,ytd_yoy_pct,provenance
Q2 2019,2003/2002,107.3,103.2,104.9,104.3,104.9,SOURCE: European Cocoa Association (ECA) — https://www.eurococoa.com/wp-content/uploads/WEBSITE-REPORT-WESTERN-STATS-Q2-2019.pdf
Q2 2019,2004/2003,102.1,103.2,103.4,105.9,2003.0,SOURCE: European Cocoa Association (ECA) — https://www.eurococoa.com/wp-content/uploads/WEBSITE-REPORT-WESTERN-STATS-Q2-2019.pdf
Q2 2019,2005/2004,105.2,108.6,108.6,100.9,105.8,SOURCE: European Cocoa Association (ECA) — https://www.eurococoa.com/wp-content/uploads/WEBSITE-REPORT-WESTERN-STATS-Q2-2019.pdf
Q2 2019,2006/2005,106.7,106.6,107.8,109.9,2005.0,SOURCE: European Cocoa Association (ECA) — https://www.eurococoa.com/wp-content/uploads/WEBSITE-REPORT-WESTERN-STATS-Q2-2019.pdf
Q2 2019,2007/2006,102.9,108.0,103.4,104.4,104.7,SOURCE: European Cocoa Association (ECA) — https://www.eurococoa.com/wp-content/uploads/WEBSITE-REPORT-WESTERN-STATS-Q2-2019.pdf
Q2 2019,2008/2007,101.4,101.9,103.3,104.7,2007.0,SOURCE: European Cocoa Association (ECA) — https://www.eurococoa.com/wp-content/uploads/WEBSITE-REPORT-WESTERN-STATS-Q2-2019.pdf
Q2 2019,2009/2008,100.6,98.9,88.7,88.9,94.3,SOURCE: European Cocoa Association (ECA) — https://www.eurococoa.com/wp-content/uploads/WEBSITE-REPORT-WESTERN-STATS-Q2-2019.pdf
Q2 2019,2010/2009,103.1,105.1,110.3,108.2,2009.0,SOURCE: European Cocoa Association (ECA) — https://www.eurococoa.com/wp-content/uploads/WEBSITE-REPORT-WESTERN-STATS-Q2-2019.pdf
Q2 2019,2011/2010,101.9,114.2,108.3,104.0,107.0,SOURCE: European Cocoa Association (ECA) — https://www.eurococoa.com/wp-content/uploads/WEBSITE-REPORT-WESTERN-STATS-Q2-2019.pdf
Q2 2019,2012/2011,89.7,88.4,90.9,99.6,2011.0,SOURCE: European Cocoa Association (ECA) — https://www.eurococoa.com/wp-content/uploads/WEBSITE-REPORT-WESTERN-STATS-Q2-2019.pdf
Q2 2019,2013/2012,106.4,104.7,106.0,96.1,103.1,SOURCE: European Cocoa Association (ECA) — https://www.eurococoa.com/wp-content/uploads/WEBSITE-REPORT-WESTERN-STATS-Q2-2019.pdf
Q2 2019,2014/2013,97.9,99.8,100.2,101.1,2013.0,SOURCE: European Cocoa Association (ECA) — https://www.eurococoa.com/wp-content/uploads/WEBSITE-REPORT-WESTERN-STATS-Q2-2019.pdf
Q2 2019,2015/2014,105.9,101.7,100.6,98.3,101.6,SOURCE: European Cocoa Association (ECA) — https://www.eurococoa.com/wp-content/uploads/WEBSITE-REPORT-WESTERN-STATS-Q2-2019.pdf
Q2 2019,2016/2015,101.6,102.5,102.1,99.5,2015.0,SOURCE: European Cocoa Association (ECA) — https://www.eurococoa.com/wp-content/uploads/WEBSITE-REPORT-WESTERN-STATS-Q2-2019.pdf
Q2 2019,2017/2016,104.4,103.0,101.9,101.2,102.6,SOURCE: European Cocoa Association (ECA) — https://www.eurococoa.com/wp-content/uploads/WEBSITE-REPORT-WESTERN-STATS-Q2-2019.pdf
Q2 2019,2018/2017,104.2,105.1,106.4,105.5,2017.0,SOURCE: European Cocoa Association (ECA) — https://www.eurococoa.com/wp-content/uploads/WEBSITE-REPORT-WESTERN-STATS-Q2-2019.pdf
