year,entity,code,production_tonnes,climate_region,provenance
2005,World,OWID_WRL,4043867.8,tropical,SOURCE: Our World In Data / FAO — World aggregate (ourworldindata.org/grapher/cocoa-bean-production)
2006,World,OWID_WRL,4299922.5,tropical,SOURCE: Our World In Data / FAO — World aggregate (ourworldindata.org/grapher/cocoa-bean-production)
2007,World,OWID_WRL,3898909.8,tropical,SOURCE: Our World In Data / FAO — World aggregate (ourworldindata.org/grapher/cocoa-bean-production)
2008,World,OWID_WRL,4265984,tropical,SOURCE: Our World In Data / FAO — World aggregate (ourworldindata.org/grapher/cocoa-bean-production)
2009,World,OWID_WRL,4211455,tropical,SOURCE: Our World In Data / FAO — World aggregate (ourworldindata.org/grapher/cocoa-bean-production)
2010,World,OWID_WRL,4328769.5,tropical,SOURCE: Our World In Data / FAO — World aggregate (ourworldindata.org/grapher/cocoa-bean-production)
2011,World,OWID_WRL,4553617.5,tropical,SOURCE: Our World In Data / FAO — World aggregate (ourworldindata.org/grapher/cocoa-bean-production)
2012,World,OWID_WRL,4613754.5,tropical,SOURCE: Our World In Data / FAO — World aggregate (ourworldindata.org/grapher/cocoa-bean-production)
2013,World,OWID_WRL,4486395.5,tropical,SOURCE: Our World In Data / FAO — World aggregate (ourworldindata.org/grapher/cocoa-bean-production)
2014,World,OWID_WRL,4742114,tropical,SOURCE: Our World In Data / FAO — World aggregate (ourworldindata.org/grapher/cocoa-bean-production)
2015,World,OWID_WRL,4817236,tropical,SOURCE: Our World In Data / FAO — World aggregate (ourworldindata.org/grapher/cocoa-bean-production)
2016,World,OWID_WRL,4777619,tropical,SOURCE: Our World In Data / FAO — World aggregate (ourworldindata.org/grapher/cocoa-bean-production)
2017,World,OWID_WRL,5235269.5,tropical,SOURCE: Our World In Data / FAO — World aggregate (ourworldindata.org/grapher/cocoa-bean-production)
2018,World,OWID_WRL,5505867,tropical,SOURCE: Our World In Data / FAO — World aggregate (ourworldindata.org/grapher/cocoa-bean-production)
2019,World,OWID_WRL,5520075,tropical,SOURCE: Our World In Data / FAO — World aggregate (ourworldindata.org/grapher/cocoa-bean-production)
2020,World,OWID_WRL,5683749,tropical,SOURCE: Our World In Data / FAO — World aggregate (ourworldindata.org/grapher/cocoa-bean-production)
2021,World,OWID_WRL,5771233,tropical,SOURCE: Our World In Data / FAO — World aggregate (ourworldindata.org/grapher/cocoa-bean-production)
2022,World,OWID_WRL,5622906,tropical,SOURCE: Our World In Data / FAO — World aggregate (ourworldindata.org/grapher/cocoa-bean-production)
2023,World,OWID_WRL,5123486,tropical,SOURCE: Our World In Data / FAO — World aggregate (ourworldindata.org/grapher/cocoa-bean-production)
2024,World,OWID_WRL,5233245.5,tropical,SOURCE: Our World In Data / FAO — World aggregate (ourworldindata.org/grapher/cocoa-bean-production)
