year,entity,code,yield_tonnes_per_ha,climate_region,provenance
2005,Brazil,BRA,0.3336,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2006,Brazil,BRA,0.328,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2007,Brazil,BRA,0.32060003,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2008,Brazil,BRA,0.31500003,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2009,Brazil,BRA,0.34350002,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2010,Brazil,BRA,0.3563,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2011,Brazil,BRA,0.36520004,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2012,Brazil,BRA,0.37,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2013,Brazil,BRA,0.37170002,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2014,Brazil,BRA,0.3888,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2015,Brazil,BRA,0.39600003,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2016,Brazil,BRA,0.29700002,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2017,Brazil,BRA,0.39910004,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2018,Brazil,BRA,0.4146,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2019,Brazil,BRA,0.44590002,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2020,Brazil,BRA,0.4584,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2021,Brazil,BRA,0.5029,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2022,Brazil,BRA,0.49940002,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2023,Brazil,BRA,0.4833,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2024,Brazil,BRA,0.48210004,Latin America,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2005,Cameroon,CMR,0.35000002,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2006,Cameroon,CMR,0.374,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2007,Cameroon,CMR,0.38660002,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
2008,Cameroon,CMR,0.3885,West Africa,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/cocoa-bean-yields.csv?v=1&csvType=full&useColumnShortNames=false
