year,country,production_1000mt,area_harvested_1000ha,exports_1000mt,provenance
2005,Colombia,672.576,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2006,Colombia,711.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2007,Colombia,780.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2008,Colombia,777.8,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2009,Colombia,804.838,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2010,Colombia,753.039,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2011,Colombia,804.838,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2012,Colombia,973.039,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2013,Colombia,1040.835,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2014,Colombia,1109.586,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2015,Colombia,1275.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2016,Colombia,1146.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2017,Colombia,1627.552,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2018,Colombia,1631.5064,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2019,Colombia,1527.5489,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2020,Colombia,1557.9949,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2021,Colombia,1747.773,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2022,Colombia,1767.624,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2023,Colombia,1841.8802,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2005,Indonesia,11861.615,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2006,Indonesia,17350.848,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2007,Indonesia,17664.724,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2008,Indonesia,17539.788,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2009,Indonesia,19324.292,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2010,Indonesia,21958.12,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2011,Indonesia,23096.54,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2012,Indonesia,26015.52,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2013,Indonesia,27782.004,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2014,Indonesia,29278.188,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2015,Indonesia,31070.016,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2016,Indonesia,31730.96,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2017,Indonesia,37965.224,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2018,Indonesia,40567.23,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2019,Indonesia,47120.25,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2020,Indonesia,44759.148,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2021,Indonesia,49710.344,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2022,Indonesia,46819.67,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2023,Indonesia,47084.3,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2005,Malaysia,14961.7,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2006,Malaysia,15880.7,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2007,Malaysia,15823.745,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2008,Malaysia,17734.44,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2009,Malaysia,17564.936,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2010,Malaysia,16993.716,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2011,Malaysia,18911.52,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2012,Malaysia,18785.03,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2013,Malaysia,19216.46,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2014,Malaysia,19667.016,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2015,Malaysia,19961.58,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2016,Malaysia,17319.176,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2017,Malaysia,19919.332,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2018,Malaysia,19516.14,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2019,Malaysia,19858.368,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2020,Malaysia,19140.612,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2021,Malaysia,18116.354,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2022,Malaysia,18453.42,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2023,Malaysia,18551.95,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2005,Nigeria,1170.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2006,Nigeria,1287.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2007,Nigeria,1309.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2008,Nigeria,1330.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2009,Nigeria,1233.05,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2010,Nigeria,970.82,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2011,Nigeria,930.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2012,Nigeria,940.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2013,Nigeria,880.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2014,Nigeria,1350.095,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2015,Nigeria,1432.103,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2016,Nigeria,960.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2017,Nigeria,1529.315,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2018,Nigeria,1564.599,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2019,Nigeria,1220.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2020,Nigeria,1280.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2021,Nigeria,1350.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2022,Nigeria,1420.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2023,Nigeria,1460.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2005,Papua New Guinea,310.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2006,Papua New Guinea,365.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2007,Papua New Guinea,382.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2008,Papua New Guinea,465.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2009,Papua New Guinea,478.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2010,Papua New Guinea,488.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2011,Papua New Guinea,580.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2012,Papua New Guinea,520.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2013,Papua New Guinea,500.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2014,Papua New Guinea,537.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2015,Papua New Guinea,525.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2016,Papua New Guinea,565.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2017,Papua New Guinea,645.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2018,Papua New Guinea,648.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2019,Papua New Guinea,625.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2020,Papua New Guinea,680.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2021,Papua New Guinea,765.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2022,Papua New Guinea,810.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
2023,Papua New Guinea,770.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-production.csv?v=1&csvType=full&useColumnShortNames=false
