year,country,yield_mt_per_ha,source_owid,source_usda,divergence_flag,provenance
2005,Indonesia,18.9702,18.9702,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2005,Malaysia,18.4629,18.4629,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2005,Thailand,15.4311,15.4311,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2005,Colombia,19.2995,19.2995,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2005,Nigeria,2.5373,2.5373,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2005,Papua New Guinea,14.7727,14.7727,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2006,Indonesia,19.5255,19.5255,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2006,Malaysia,19.0626,19.0626,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2006,Thailand,17.6771,17.6771,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2006,Colombia,19.3939,19.3939,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2006,Nigeria,2.6992,2.6992,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2006,Papua New Guinea,14.6739,14.6739,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2007,Indonesia,17.1053,17.1053,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2007,Malaysia,18.3544,18.3544,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2007,Thailand,14.9957,14.9957,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2007,Colombia,19.3939,19.3939,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2007,Nigeria,2.6984,2.6984,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2007,Papua New Guinea,14.5833,14.5833,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2008,Indonesia,17.0683,17.0683,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2008,Malaysia,19.5523,19.5523,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2008,Thailand,20.0854,20.0854,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2008,Colombia,19.3939,19.3939,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2008,Nigeria,2.6563,2.6563,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2008,Papua New Guinea,14.5299,14.5299,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2009,Indonesia,18.0,18.0,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2009,Malaysia,18.2696,18.2696,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2009,Thailand,16.0052,16.0052,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2009,Colombia,19.3939,19.3939,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2009,Nigeria,2.6563,2.6563,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2009,Papua New Guinea,14.5378,14.5378,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2010,Indonesia,19.2042,19.2042,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2010,Malaysia,17.1189,17.1189,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2010,Thailand,15.1915,15.1915,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
